dataset,q_type,qid,question,concept_tags,student_id,answer_text,selected_option,is_correct,time_s,source,misconception_label,bloom_level,difficulty_label
OpenStaxMock,short_answer,2000,What is derivative?,derivative,s0048,Student explains derivative in their own words,,1,52,openstax_mock,,Remember,Easy
OpenStaxMock,short_answer,2001,What is integral?,integral,s0164,Student explains integral in their own words,,1,102,openstax_mock,,Remember,Easy
OpenStaxMock,short_answer,2002,What is limit?,limit,s0664,Student explains limit in their own words,,1,38,openstax_mock,,Understand,Hard
OpenStaxMock,short_answer,2003,What is matrix?,matrix,s0718,Student explains matrix in their own words,,0,22,openstax_mock,miscon-matrix,Analyze,Medium
OpenStaxMock,short_answer,2004,What is probability?,probability,s0792,Student explains probability in their own words,,1,93,openstax_mock,,Understand,Easy
OpenStaxMock,short_answer,2005,What is derivative?,derivative,s0524,Student explains derivative in their own words,,1,116,openstax_mock,,Understand,Easy
OpenStaxMock,short_answer,2006,What is integral?,integral,s0255,Student explains integral in their own words,,0,56,openstax_mock,miscon-integral,Apply,Medium
OpenStaxMock,short_answer,2007,What is limit?,limit,s0186,Student explains limit in their own words,,1,42,openstax_mock,,Understand,Easy
OpenStaxMock,short_answer,2008,What is matrix?,matrix,s0617,Student explains matrix in their own words,,0,73,openstax_mock,miscon-matrix,Apply,Easy
OpenStaxMock,short_answer,2009,What is probability?,probability,s0170,Student explains probability in their own words,,1,119,openstax_mock,,Apply,Medium
OpenStaxMock,short_answer,2010,What is derivative?,derivative,s0671,Student explains derivative in their own words,,0,79,openstax_mock,miscon-derivative,Analyze,Easy
OpenStaxMock,short_answer,2011,What is integral?,integral,s0649,Student explains integral in their own words,,0,110,openstax_mock,miscon-integral,Remember,Easy
OpenStaxMock,short_answer,2012,What is limit?,limit,s0759,Student explains limit in their own words,,1,81,openstax_mock,,Remember,Easy
OpenStaxMock,short_answer,2013,What is matrix?,matrix,s0370,Student explains matrix in their own words,,0,86,openstax_mock,miscon-matrix,Apply,Hard
OpenStaxMock,short_answer,2014,What is probability?,probability,s0841,Student explains probability in their own words,,1,62,openstax_mock,,Remember,Hard
OpenStaxMock,short_answer,2015,What is derivative?,derivative,s0259,Student explains derivative in their own words,,1,109,openstax_mock,,Remember,Easy
OpenStaxMock,short_answer,2016,What is integral?,integral,s0906,Student explains integral in their own words,,1,80,openstax_mock,,Understand,Hard
OpenStaxMock,short_answer,2017,What is limit?,limit,s0806,Student explains limit in their own words,,0,41,openstax_mock,miscon-limit,Analyze,Medium
OpenStaxMock,short_answer,2018,What is matrix?,matrix,s0268,Student explains matrix in their own words,,1,119,openstax_mock,,Apply,Easy
