dataset,q_type,qid,question,concept_tags,student_id,answer_text,selected_option,is_correct,time_s,source,misconception_label,bloom_level,difficulty_label
SYNTH,short_answer,1000,Q 1000,DFA,s1310,Explains DFA,,1,21,synth,,Remember,Easy
SYNTH,mcq,1001,Q 1001,NFA,s1519,Selected B,B,1,32,synth,,Apply,Easy
SYNTH,short_answer,1002,Q 1002,regex,s0458,Explains regex,,1,32,synth,,Understand,Hard
SYNTH,mcq,1003,Q 1003,pumping,s0210,Selected D,D,0,48,synth,miscon-pumping,Create,Hard
SYNTH,short_answer,1004,Q 1004,equivalence,s1828,Explains equivalence,,1,25,synth,,Evaluate,Easy
SYNTH,mcq,1005,Q 1005,subset,s1210,Selected B,B,1,25,synth,,Analyze,Easy
SYNTH,short_answer,1006,Q 1006,closure,s0062,Explains closure,,1,9,synth,,Remember,Easy
SYNTH,mcq,1007,Q 1007,parity,s0477,Selected D,D,1,37,synth,,Evaluate,Hard
SYNTH,short_answer,1008,Q 1008,DFA,s0055,Explains DFA,,0,36,synth,miscon-DFA,Evaluate,Easy
SYNTH,mcq,1009,Q 1009,NFA,s1467,Selected B,B,1,24,synth,,Create,Hard
SYNTH,short_answer,1010,Q 1010,regex,s1117,Explains regex,,1,24,synth,,Analyze,Easy
SYNTH,mcq,1011,Q 1011,pumping,s0920,Selected D,D,1,34,synth,,Evaluate,Medium
SYNTH,short_answer,1012,Q 1012,equivalence,s1658,Explains equivalence,,0,40,synth,miscon-equivalence,Remember,Easy
SYNTH,mcq,1013,Q 1013,subset,s1430,Selected B,B,1,25,synth,,Analyze,Medium
SYNTH,short_answer,1014,Q 1014,closure,s0570,Explains closure,,1,25,synth,,Understand,Easy
SYNTH,mcq,1015,Q 1015,parity,s1961,Selected D,D,1,37,synth,,Apply,Easy
SYNTH,short_answer,1016,Q 1016,DFA,s0190,Explains DFA,,0,31,synth,miscon-DFA,Analyze,Easy
SYNTH,mcq,1017,Q 1017,NFA,s0736,Selected B,B,1,28,synth,,Apply,Hard
SYNTH,short_answer,1018,Q 1018,regex,s0542,Explains regex,,1,28,synth,,Remember,Hard
SYNTH,mcq,1019,Q 1019,pumping,s0941,Selected D,D,0,43,synth,miscon-pumping,Evaluate,Easy
SYNTH,short_answer,1020,Q 1020,equivalence,s1993,Explains equivalence,,1,52,synth,,Analyze,Easy
SYNTH,mcq,1021,Q 1021,subset,s1131,Selected B,B,1,39,synth,,Apply,Hard
SYNTH,short_answer,1022,Q 1022,closure,s1267,Explains closure,,0,41,synth,miscon-closure,Apply,Hard
SYNTH,mcq,1023,Q 1023,parity,s0394,Selected D,D,0,47,synth,miscon-parity,Create,Easy
SYNTH,short_answer,1024,Q 1024,DFA,s0094,Explains DFA,,1,21,synth,,Create,Easy
SYNTH,mcq,1025,Q 1025,NFA,s1584,Selected B,B,1,17,synth,,Apply,Easy
SYNTH,short_answer,1026,Q 1026,regex,s1752,Explains regex,,0,29,synth,miscon-regex,Understand,Easy
SYNTH,mcq,1027,Q 1027,pumping,s0779,Selected D,D,1,22,synth,,Apply,Medium
SYNTH,short_answer,1028,Q 1028,equivalence,s1302,Explains equivalence,,1,34,synth,,Apply,Easy
SYNTH,mcq,1029,Q 1029,subset,s0759,Selected B,B,0,47,synth,miscon-subset,Apply,Easy
SYNTH,short_answer,1030,Q 1030,closure,s1373,Explains closure,,0,38,synth,miscon-closure,Apply,Hard
SYNTH,mcq,1031,Q 1031,parity,s1919,Selected D,D,1,25,synth,,Create,Hard
SYNTH,short_answer,1032,Q 1032,DFA,s0147,Explains DFA,,0,27,synth,miscon-DFA,Evaluate,Hard
SYNTH,mcq,1033,Q 1033,NFA,s0351,Selected B,B,1,38,synth,,Evaluate,Hard
SYNTH,short_answer,1034,Q 1034,regex,s0502,Explains regex,,1,39,synth,,Understand,Medium
SYNTH,mcq,1035,Q 1035,pumping,s0778,Selected D,D,0,32,synth,miscon-pumping,Apply,Hard
SYNTH,short_answer,1036,Q 1036,equivalence,s1410,Explains equivalence,,0,31,synth,miscon-equivalence,Evaluate,Easy
SYNTH,mcq,1037,Q 1037,subset,s1403,Selected B,B,0,39,synth,miscon-subset,Apply,Easy
SYNTH,short_answer,1038,Q 1038,closure,s0470,Explains closure,,0,51,synth,miscon-closure,Remember,Medium
SYNTH,mcq,1039,Q 1039,parity,s0822,Selected D,D,1,32,synth,,Apply,Easy
SYNTH,short_answer,1040,Q 1040,DFA,s0433,Explains DFA,,1,26,synth,,Evaluate,Hard
SYNTH,mcq,1041,Q 1041,NFA,s0645,Selected B,B,1,29,synth,,Understand,Hard
SYNTH,short_answer,1042,Q 1042,regex,s1023,Explains regex,,1,18,synth,,Analyze,Hard
SYNTH,mcq,1043,Q 1043,pumping,s0940,Selected D,D,1,38,synth,,Understand,Medium
SYNTH,short_answer,1044,Q 1044,equivalence,s0286,Explains equivalence,,0,35,synth,miscon-equivalence,Understand,Hard
SYNTH,mcq,1045,Q 1045,subset,s1150,Selected B,B,0,28,synth,miscon-subset,Evaluate,Medium
SYNTH,short_answer,1046,Q 1046,closure,s1530,Explains closure,,1,28,synth,,Evaluate,Medium
SYNTH,mcq,1047,Q 1047,parity,s1839,Selected D,D,1,26,synth,,Evaluate,Medium
SYNTH,short_answer,1048,Q 1048,DFA,s0742,Explains DFA,,0,44,synth,miscon-DFA,Understand,Easy
SYNTH,mcq,1049,Q 1049,NFA,s1044,Selected B,B,0,49,synth,miscon-NFA,Analyze,Easy
SYNTH,short_answer,1050,Q 1050,regex,s1548,Explains regex,,0,50,synth,miscon-regex,Remember,Easy
SYNTH,mcq,1051,Q 1051,pumping,s0314,Selected D,D,0,41,synth,miscon-pumping,Create,Easy
SYNTH,short_answer,1052,Q 1052,equivalence,s1623,Explains equivalence,,1,27,synth,,Create,Medium
SYNTH,mcq,1053,Q 1053,subset,s1222,Selected B,B,1,27,synth,,Remember,Medium
SYNTH,short_answer,1054,Q 1054,closure,s0782,Explains closure,,0,18,synth,miscon-closure,Evaluate,Medium
SYNTH,mcq,1055,Q 1055,parity,s1084,Selected D,D,1,32,synth,,Apply,Hard
SYNTH,short_answer,1056,Q 1056,DFA,s1763,Explains DFA,,1,33,synth,,Remember,Hard
SYNTH,mcq,1057,Q 1057,NFA,s1477,Selected B,B,1,28,synth,,Remember,Hard
SYNTH,short_answer,1058,Q 1058,regex,s1813,Explains regex,,1,22,synth,,Evaluate,Medium
SYNTH,mcq,1059,Q 1059,pumping,s1575,Selected D,D,0,51,synth,miscon-pumping,Create,Medium
SYNTH,short_answer,1060,Q 1060,equivalence,s0229,Explains equivalence,,0,39,synth,miscon-equivalence,Apply,Medium
SYNTH,mcq,1061,Q 1061,subset,s0324,Selected B,B,1,16,synth,,Analyze,Easy
SYNTH,short_answer,1062,Q 1062,closure,s1954,Explains closure,,1,30,synth,,Create,Hard
SYNTH,mcq,1063,Q 1063,parity,s0540,Selected D,D,1,26,synth,,Evaluate,Easy
SYNTH,short_answer,1064,Q 1064,DFA,s1040,Explains DFA,,1,33,synth,,Remember,Hard
SYNTH,mcq,1065,Q 1065,NFA,s0612,Selected B,B,1,27,synth,,Create,Hard
SYNTH,short_answer,1066,Q 1066,regex,s1248,Explains regex,,1,32,synth,,Understand,Easy
SYNTH,mcq,1067,Q 1067,pumping,s0766,Selected D,D,1,29,synth,,Understand,Hard
SYNTH,short_answer,1068,Q 1068,equivalence,s1953,Explains equivalence,,0,33,synth,miscon-equivalence,Evaluate,Easy
SYNTH,mcq,1069,Q 1069,subset,s1227,Selected B,B,0,46,synth,miscon-subset,Apply,Medium
SYNTH,short_answer,1070,Q 1070,closure,s0040,Explains closure,,1,41,synth,,Remember,Medium
SYNTH,mcq,1071,Q 1071,parity,s1800,Selected D,D,1,41,synth,,Apply,Easy
SYNTH,short_answer,1072,Q 1072,DFA,s0119,Explains DFA,,1,26,synth,,Understand,Hard
SYNTH,mcq,1073,Q 1073,NFA,s1940,Selected B,B,1,37,synth,,Remember,Easy
